Date,Forecast_Close
2025-05-20,107062.78418419149
2025-05-21,107006.08437383093
2025-05-22,107164.27496986996
2025-05-23,107086.2816150783
2025-05-24,107050.860476491
2025-05-25,107046.92139654791
2025-05-26,107056.67193233092
2025-05-27,107047.75850644492
2025-05-28,107047.98222072526
2025-05-29,107049.63928511213
2025-05-30,107050.41845899723
2025-05-31,107049.65957647827
2025-06-01,107049.92905625205
2025-06-02,107050.05535394482
2025-06-03,107050.02574478465
2025-06-04,107049.95214272363
2025-06-05,107049.98800902396
2025-06-06,107049.98912600559
2025-06-07,107049.98123627962
2025-06-08,107049.97825692744
2025-06-09,107049.98282641864
2025-06-10,107049.98202148521
2025-06-11,107049.98136428837
2025-06-12,107049.98151981084
2025-06-13,107049.98188775277
2025-06-14,107049.98169969962
2025-06-15,107049.98166895776
2025-06-16,107049.98170679931
2025-06-17,107049.98172190099
2025-06-18,107049.98169864414
2025-06-19,107049.98170184277
2025-06-20,107049.98170602352
2025-06-21,107049.98170546367
2025-06-22,107049.98170359497
2025-06-23,107049.98170450848
2025-06-24,107049.9817047354
2025-06-25,107049.98170452849
2025-06-26,107049.98170443783
2025-06-27,107049.98170455298
2025-06-28,107049.98170454164
2025-06-29,107049.98170451744
2025-06-30,107049.98170451973
2025-07-01,107049.98170452971
2025-07-02,107049.98170452549
2025-07-03,107049.98170452403
2025-07-04,107049.98170452514
2025-07-05,107049.98170452566
2025-07-06,107049.98170452508
2025-07-07,107049.98170452511
2025-07-08,107049.98170452524
2025-07-09,107049.98170452523
2025-07-10,107049.98170452517
2025-07-11,107049.98170452518
2025-07-12,107049.9817045252
2025-07-13,107049.9817045252
2025-07-14,107049.9817045252
2025-07-15,107049.9817045252
2025-07-16,107049.9817045252
2025-07-17,107049.9817045252
2025-07-18,107049.9817045252
2025-07-19,107049.9817045252
2025-07-20,107049.9817045252
2025-07-21,107049.9817045252
2025-07-22,107049.9817045252
2025-07-23,107049.9817045252
2025-07-24,107049.9817045252
2025-07-25,107049.9817045252
2025-07-26,107049.9817045252
2025-07-27,107049.9817045252
2025-07-28,107049.9817045252
2025-07-29,107049.9817045252
2025-07-30,107049.9817045252
2025-07-31,107049.9817045252
2025-08-01,107049.9817045252
2025-08-02,107049.9817045252
2025-08-03,107049.9817045252
2025-08-04,107049.9817045252
2025-08-05,107049.9817045252
2025-08-06,107049.9817045252
2025-08-07,107049.9817045252
2025-08-08,107049.9817045252
2025-08-09,107049.9817045252
2025-08-10,107049.9817045252
2025-08-11,107049.9817045252
2025-08-12,107049.9817045252
2025-08-13,107049.9817045252
2025-08-14,107049.9817045252
2025-08-15,107049.9817045252
2025-08-16,107049.9817045252
2025-08-17,107049.9817045252
2025-08-18,107049.9817045252
2025-08-19,107049.9817045252
2025-08-20,107049.9817045252
2025-08-21,107049.9817045252
2025-08-22,107049.9817045252
2025-08-23,107049.9817045252
2025-08-24,107049.9817045252
2025-08-25,107049.9817045252
2025-08-26,107049.9817045252
2025-08-27,107049.9817045252
